Reviews,Sentimento
Vale cada centavo  superou minhas expectativas.,Positivo
Não é ruim  mas esperava mais.,Neutro
Regular  cumpre a função.,Neutro
Aceitável para o preço que paguei.,Neutro
Adorei o design e a velocidade do sistema.,Positivo
Muito rápido e eficiente  recomendo!,Positivo
Câmera incrível  fotos com ótima qualidade.,Positivo
Design ok  desempenho dentro do esperado.,Neutro
Tela com ótima resolução  muito satisfatória.,Positivo
Regular  cumpre a função.,Neutro
Muito rápido e eficiente  recomendo!,Positivo
Tela com ótima resolução  muito satisfatória.,Positivo
Melhor smartphone que já tive até hoje.,Positivo
Tela com ótima resolução  muito satisfatória.,Positivo
Melhor smartphone que já tive até hoje.,Positivo
Esquenta demais durante o uso.,Negativo
Vale cada centavo  superou minhas expectativas.,Positivo
Atualizações constantes  ótimo suporte.,Positivo
Muito rápido e eficiente  recomendo!,Positivo
Adorei o design e a velocidade do sistema.,Positivo
Câmera incrível  fotos com ótima qualidade.,Positivo
Câmera incrível  fotos com ótima qualidade.,Positivo
Muito rápido e eficiente  recomendo!,Positivo
Carregamento super rápido  muito prático.,Positivo
É um bom aparelho  mas nada demais.,Neutro
Muito rápido e eficiente  recomendo!,Positivo
Melhor smartphone que já tive até hoje.,Positivo
Excelente desempenho e bateria de longa duração.,Positivo
Aceitável para o preço que paguei.,Neutro
Excelente desempenho e bateria de longa duração.,Positivo
Tela com ótima resolução  muito satisfatória.,Positivo
Regular  cumpre a função.,Neutro
Design bonito  mas muito frágil.,Negativo
Carregamento super rápido  muito prático.,Positivo
Esquenta demais durante o uso.,Negativo
Melhor smartphone que já tive até hoje.,Positivo
Sistema fluido e sem travamentos.,Positivo
Adorei o design e a velocidade do sistema.,Positivo
Mais ou menos  poderia melhorar em alguns aspectos.,Neutro
Preço alto para pouca entrega.,Negativo
Tela com ótima resolução  muito satisfatória.,Positivo
Muito rápido e eficiente  recomendo!,Positivo
Excelente desempenho e bateria de longa duração.,Positivo
Câmera incrível  fotos com ótima qualidade.,Positivo
Muito rápido e eficiente  recomendo!,Positivo
Sistema fluido e sem travamentos.,Positivo
Bateria acaba muito rápido  decepcionante.,Negativo
Câmera incrível  fotos com ótima qualidade.,Positivo
Muito rápido e eficiente  recomendo!,Positivo
Atualizações constantes  ótimo suporte.,Positivo
Adorei o design e a velocidade do sistema.,Positivo
Muito rápido e eficiente  recomendo!,Positivo
Não recomendo  me arrependi da compra.,Negativo
Câmera péssima em ambientes com pouca luz.,Negativo
É um bom aparelho  mas nada demais.,Neutro
Carregamento super rápido  muito prático.,Positivo
Adorei o design e a velocidade do sistema.,Positivo
Adorei o design e a velocidade do sistema.,Positivo
Tela com ótima resolução  muito satisfatória.,Positivo
Regular  cumpre a função.,Neutro
Câmera incrível  fotos com ótima qualidade.,Positivo
Sistema fluido e sem travamentos.,Positivo
Atualizações constantes  ótimo suporte.,Positivo
Atualizações constantes  ótimo suporte.,Positivo
Melhor smartphone que já tive até hoje.,Positivo
Melhor smartphone que já tive até hoje.,Positivo
Bateria acaba muito rápido  decepcionante.,Negativo
Melhor smartphone que já tive até hoje.,Positivo
Vale cada centavo  superou minhas expectativas.,Positivo
Excelente desempenho e bateria de longa duração.,Positivo
Câmera incrível  fotos com ótima qualidade.,Positivo
Atualizações constantes  ótimo suporte.,Positivo
Entrega o que promete  mas sem surpresas.,Neutro
Muito rápido e eficiente  recomendo!,Positivo
Funciona bem para o dia a dia.,Neutro
Esquenta demais durante o uso.,Negativo
Som muito baixo e de má qualidade.,Negativo
Tela com ótima resolução  muito satisfatória.,Positivo
Sistema fluido e sem travamentos.,Positivo
Melhor smartphone que já tive até hoje.,Positivo
Sistema lento e cheio de bugs.,Negativo
Design bonito  mas muito frágil.,Negativo
Mais ou menos  poderia melhorar em alguns aspectos.,Neutro
Câmera incrível  fotos com ótima qualidade.,Positivo
Melhor smartphone que já tive até hoje.,Positivo
Melhor smartphone que já tive até hoje.,Positivo
Atualizações constantes  ótimo suporte.,Positivo
Esquenta demais durante o uso.,Negativo
Melhor smartphone que já tive até hoje.,Positivo
Não é ruim  mas esperava mais.,Neutro
Carregamento super rápido  muito prático.,Positivo
Carregamento super rápido  muito prático.,Positivo
Câmera incrível  fotos com ótima qualidade.,Positivo
Esquenta demais durante o uso.,Negativo
Adorei o design e a velocidade do sistema.,Positivo
Melhor smartphone que já tive até hoje.,Positivo
Esquenta demais durante o uso.,Negativo
Muito rápido e eficiente  recomendo!,Positivo
Excelente desempenho e bateria de longa duração.,Positivo
Tela com ótima resolução  muito satisfatória.,Positivo
